Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C24, C25, C37",0805,4,1u,
"C10, C5, C7",0805,3,10u,
C11,0402,1,22u,
"C12, C13, C15, C16, C18, C19, C20, C21, C23, C9",0402,10,100n,
"C14, C17, C54",0402,3,1u,
"C2, C3",0402,2,15p,
C22,0402,1,10u,
"C26, C27, C28, C29, C30, C38, C39, C40, C41, C42, C53, C55, C56, C57, C6, C8",0402,16,.1u,
"C31, C32, C33, C34, C35, C36, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52",0402,16,.01u,
"C4, L1",0402,2,2.2u,
"D2, D3, D4, D5, D6, D7, D8",0402,7,D_Schottky,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
"J10, J11, J12, J6, J7, J8, J9",TerminalBlock_Xinya_XY308-2.54-4P_1x04_P2.54mm_Horizontal,7,Screw_Terminal_01x04,
J2,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal_modified,1,USB_B_Micro,
J3,CONN_SM03B-SRSS-TB_JST,1,SM03B-SRSS-TB,
J4,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,Screw_Terminal_01x03,
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Socket,
"R1, R2, R6",0402,3,100,
"R10, R11",0402,2,27,
R12,0402,1,9.31k,
"R13, R14, R15, R16, R17, R18, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R5",0402,18,1k,
R19,0402,1,5.11k .1%,
R20,0402,1,250,
R31,0402,1,10k,
R4,0402,1,DNF,
R7,0402,1,34k,
R8,0402,1,154k,
R9,0402,1,100k,
U1,TO-252-2,1,LP2950-5.0_TO252,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U3,SSOP-8_2.95x2.8mm_P0.65mm,1,TXS0102DCT,
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U5,RU_16_ADI,1,ADG708BRUZ,
U6,SOT_9210DRLR_TEX-M,1,XPS629210DRLR,
U7,RP2040-QFN-56,1,RP2040,
U8,CP_32_12_ADI-M,1,AD7124-8BCPZ,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
