Designator,Mid X,Mid Y,Rotation,Layer
C1,106.825,-91.15,270.0,top
C10,106.05,-71.5,0.0,top
C11,101.05,-108.3,90.0,top
C12,119.9,-87.75,90.0,top
C13,122.4,-102.25,270.0,top
C14,123.9,-88.77,90.0,top
C15,120.9,-87.75,90.0,top
C16,114.9,-92.25,180.0,top
C17,124.9,-88.75,90.0,top
C18,127.9,-96.75,0.0,top
C19,114.92,-96.75,180.0,top
C2,119.92,-104.75,180.0,top
C20,121.4,-102.25,270.0,top
C21,127.9,-91.25,0.0,top
C22,98.53,-105.85,0.0,top
C23,127.88,-89.75,0.0,top
C24,145.15,-85.3981,180.0,top
C25,147.15,-96.8981,0.0,top
C26,163.84,-104.0,0.0,top
C27,171.7,-92.18,90.0,top
C28,164.92,-78.4,180.0,top
C29,145.65,-86.8981,180.0,top
C3,122.88,-104.75,0.0,top
C30,147.48,-95.4,0.0,top
C31,162.36,-105.0,0.0,top
C32,165.86,-105.0,0.0,top
C33,172.7,-93.66,90.0,top
C34,172.7,-90.18,90.0,top
C35,166.44,-77.4,180.0,top
C36,162.96,-77.4,180.0,top
C37,143.4,-88.55,90.0,top
C38,144.9,-89.33,90.0,top
C39,151.36,-104.0,0.0,top
C4,106.825,-87.22,90.0,top
C40,177.44,-78.4,180.0,top
C41,176.36,-104.0,0.0,top
C42,152.42,-78.4,180.0,top
C43,149.84,-105.0,0.0,top
C44,153.36,-105.0,0.0,top
C45,178.94,-77.4,180.0,top
C46,175.44,-77.4,180.0,top
C47,153.94,-77.4,180.0,top
C48,150.46,-77.4,180.0,top
C49,174.88,-105.0,0.0,top
C5,130.4,-73.25,0.0,top
C50,178.38,-105.0,0.0,top
C51,154.8,-89.5,0.0,top
C52,154.8,-88.5,0.0,top
C53,157.3,-90.1,90.0,top
C54,154.82,-91.5,0.0,top
C55,147.4,-86.85,90.0,top
C56,145.0,-94.9,180.0,top
C57,154.8,-90.5181,0.0,top
C6,106.625,-96.375,180.0,top
C7,131.9,-85.75,0.0,top
C8,107.125,-103.875,90.0,top
C9,116.9,-77.75,180.0,top
D2,162.8,-92.8,270.0,top
D3,164.7,-92.7,270.0,top
D4,166.6,-92.7,270.0,top
D5,168.685,-90.9,0.0,top
D6,166.5,-89.015,90.0,top
D7,164.6,-89.0,90.0,top
D8,162.8,-88.915,90.0,top
J1,113.9,-70.02,180.0,top
J10,177.13,-70.9,180.0,top
J11,164.63,-70.9,180.0,top
J12,152.13,-70.9,180.0,top
J2,121.875,-69.0,180.0,top
J3,130.5,-112.924999,0.0,top
J4,98.5,-97.715,270.0,top
J5,96.2,-71.34,180.0,top
J6,151.67,-111.5,0.0,top
J7,164.17,-111.5,0.0,top
J8,176.67,-111.5,0.0,top
J9,179.2,-91.87,90.0,top
L1,99.95,-110.6,180.0,top
R1,128.55,-108.2,270.0,top
R10,121.9,-88.75,270.0,top
R11,122.9,-88.75,270.0,top
R12,96.2,-106.05,0.0,top
R13,162.86,-106.5,90.0,top
R14,165.36,-106.5,270.0,top
R15,174.21,-93.18,180.0,top
R16,174.21,-90.68,0.0,top
R17,165.94,-75.9,270.0,top
R18,163.44,-75.9,90.0,top
R19,159.5,-92.5,90.0,top
R2,130.2,-108.21,90.0,top
R20,159.5,-90.1,90.0,top
R21,150.36,-106.5,90.0,top
R22,153.01,-106.45,270.0,top
R23,178.44,-75.9,270.0,top
R24,175.94,-75.9,90.0,top
R25,153.44,-75.89,270.0,top
R26,150.94,-75.89,90.0,top
R27,175.36,-106.5,90.0,top
R28,177.86,-106.5,270.0,top
R29,157.3,-92.55,90.0,top
R3,111.9,-77.25,90.0,top
R30,157.3,-87.8,270.0,top
R31,144.45,-90.7519,180.0,top
R4,110.41,-77.25,270.0,top
R5,120.4,-102.25,270.0,top
R6,106.125,-103.865,90.0,top
R7,95.7,-108.86,270.0,top
R8,95.7,-110.91,270.0,top
R9,97.51,-111.4,180.0,top
U1,99.085,-89.2,180.0,top
U2,130.4,-79.25,90.0,top
U3,106.625,-99.875,180.0,top
U4,113.9,-82.75,270.0,top
U5,138.874999,-103.8806,90.0,top
U6,97.799811,-108.3241,90.0,top
U7,121.125,-95.475,0.0,top
U8,149.15,-91.3981,90.0,top
Y1,121.3,-107.9,0.0,top
